,出港航班号FLT,出港停机位,出港机型TYS,出港是否流控管制,起飞跑道,推出时间窗,排队长度,同时段离港,同时段进港,推出滑行时间
1644,FM9217,55,15,1,1,17,8,6,2,1168
1645,HO1207,35,1,1,1,17,7,5,3,986
1646,MU2152,53,6,0,1,17,5,5,3,796
1647,FM9513,31,15,0,1,17,5,5,4,900
1648,HU7604,26,15,1,1,17,5,5,5,947
1649,FM9301,61,2,0,1,17,5,4,4,842
1650,HU7883,34,15,0,1,17,5,3,3,713
1651,FM9453,126,14,1,1,17,5,5,4,1020
1652,MU721,7,2,1,1,18,5,3,3,1009
1653,MU5203,130,1,1,1,18,5,3,3,960
1654,FM815,4,21,0,1,18,4,3,3,696
1655,9C8847,96,5,0,1,18,4,3,3,840
1656,MU5333,14,9,0,1,18,3,2,1,480
1657,FM9269,49,15,0,1,18,3,3,2,660
1658,MU5663,101,5,0,1,18,3,2,2,600
1659,ZH9520,32,5,0,1,18,3,5,4,728
1660,MU5691,52,5,0,1,19,2,4,3,600
1661,FM9451,48,15,1,1,19,3,2,2,594
1662,FM9127,15,15,0,1,19,2,3,2,720
1663,MU5509,62,1,1,1,19,4,3,2,720
1664,9C8887,97,1,0,1,19,5,2,1,780
1665,FM9305,110,15,0,1,19,3,1,0,420
1666,FM9201,59,15,0,1,19,3,3,0,803
1667,MU5405,16,15,0,1,19,2,2,0,600
1668,MU5423,47,6,0,1,19,2,0,3,536
1669,MU537,1,9,0,1,19,2,4,5,960
1670,FM9251,75,15,0,1,20,1,5,7,780
1671,MU5337,65,6,0,1,20,2,4,7,780
1672,NX137,0,6,1,1,20,3,6,9,909
1673,MU5393,12,15,0,1,20,5,4,4,540
1674,MU5017,6,9,1,1,20,3,8,8,1079
1675,HO1097,30,21,0,1,20,5,4,4,701
1676,MU5105,45,9,0,1,20,5,6,7,1085
1677,MU5535,105,5,0,1,20,6,3,4,900
1678,FM9115,103,15,1,1,21,7,2,2,540
1679,CZ3576,58,2,0,1,20,4,8,8,1406
1680,FM817,5,15,1,1,21,6,4,3,911
1681,HO1177,27,6,0,1,21,7,6,4,1086
1682,FM9399,70,15,0,1,21,4,3,2,355
1683,MU5513,36,6,1,1,21,5,4,4,714
1684,FM9297,17,15,0,1,21,5,2,2,329
1685,9C8881,9,5,1,1,21,4,6,6,960
1686,MU5303,63,15,0,1,21,5,2,2,450
1687,SC4862,21,15,1,1,21,4,4,4,727
1688,SC4950,23,15,0,1,21,4,3,3,513
1689,CZ3592,61,13,0,1,21,4,2,4,755
1690,MF8371,22,15,0,1,22,3,0,3,514
1691,9C8823,11,1,0,1,22,2,1,3,695
1692,MU5665,66,1,0,1,22,1,1,2,307
1693,MU5343,102,6,0,1,22,2,3,4,540
1694,CA1832,42,19,0,1,22,2,3,3,348
1695,CZ3534,53,20,0,1,22,1,7,7,934
1696,SC4668,24,15,1,1,22,4,1,2,335
1697,CA1534,37,14,1,1,22,4,3,2,579
1698,MU5107,13,9,0,1,22,3,5,3,780
1699,HO1209,26,6,1,1,22,4,2,1,571
1700,NS3220,35,14,1,1,23,3,2,0,443
1701,KN5738,48,15,1,1,23,3,2,0,635
1702,FM9391,71,15,0,1,23,3,2,2,660
1703,HU7606,29,8,0,1,23,3,2,4,873
1704,HO1211,34,1,0,1,23,3,1,0,319
1705,MU5305,114,9,0,1,23,2,3,2,660
1706,GS7884,28,1,1,1,23,2,4,5,701
1707,MU5643,51,1,1,1,23,2,5,7,899
1708,CA4544,33,12,0,1,24,2,5,7,923
1709,9C8837,10,1,0,1,24,3,6,6,840
1710,KN2318,50,15,1,1,24,4,5,7,847
1711,MF8512,30,15,0,1,24,5,1,4,411
1712,CZ3908,43,8,0,1,24,4,6,8,1091
1713,CZ3966,59,2,0,1,24,5,6,9,970
1714,CA1502,41,10,0,1,24,5,7,8,1015
1715,CZ3524,54,9,0,1,24,6,6,8,990
1716,MU5109,46,9,0,1,24,4,5,4,753
1717,HO1129,32,6,0,1,25,6,2,1,348
1718,MU2409,56,15,1,1,24,5,5,3,716
1719,FM9457,31,15,1,1,24,5,7,6,1040
1720,FM9467,27,15,0,1,25,5,1,2,330
1721,MU2219,47,6,0,1,25,5,5,3,1080
1722,CZ3262,60,15,1,1,25,6,3,3,1039
1723,HU7608,40,10,0,1,25,5,2,2,747
1724,MU5341,49,3,0,1,25,6,4,5,1260
1725,FM9357,21,15,0,1,25,3,1,2,540
1726,MU5301,57,15,0,1,25,2,4,5,833
1727,9C8855,99,1,0,1,26,2,6,4,720
1728,FM9573,61,13,1,1,26,2,8,6,854
1729,MU5802,44,21,1,1,26,3,6,6,929
1730,CZ3554,52,1,0,1,26,3,6,4,816
1731,MU5427,104,15,0,1,26,4,5,4,900
1732,CA1837,39,9,0,1,26,5,4,5,877
1733,MU2469,113,15,0,1,26,6,2,5,840
1734,FM9333,64,15,0,1,26,8,3,7,900
1735,9C8865,100,5,0,1,26,7,5,7,1080
1736,MU5111,131,9,0,1,26,4,0,2,350
1737,9C8829,11,1,0,1,26,6,3,8,960
1738,FM9371,26,15,0,1,26,4,1,5,743
1739,CA1520,38,21,0,1,26,3,4,8,967
1740,MU2156,36,5,0,1,27,1,5,3,540
1741,HO1159,23,6,0,1,27,2,5,3,655
1742,MU5519,50,15,0,1,27,2,4,3,558
1743,9C8807,9,1,0,1,27,3,3,3,638
1744,HO1269,35,1,0,1,27,5,1,3,589
1745,MU5804,58,15,1,1,27,5,3,4,733
1746,KA813,5,2,1,1,27,4,4,5,929
1747,NH970,4,20,0,1,27,3,2,4,601
1748,9C8947,10,5,1,1,27,3,2,3,720
1749,SC8744,24,15,1,1,28,3,2,4,900
1750,MU9726,55,14,1,1,28,2,6,4,1011
1751,FM9063,34,15,1,1,28,2,6,4,922
1752,MU5345,48,6,0,1,28,3,4,3,540
1753,CZ3532,53,9,0,1,28,2,7,5,820
1754,MU5113,42,9,0,1,28,4,6,7,833
1755,FM9219,31,15,0,1,28,6,4,5,720
1756,MU5271,56,1,0,1,28,5,6,6,900
1757,9C8765,97,5,1,1,28,6,4,5,840
1758,MF8377,33,15,0,1,28,5,3,3,756
1759,MU2158,47,6,1,1,29,6,1,1,600
1760,NX109,7,6,1,1,29,6,2,3,881
1761,MU5097,2,9,0,1,29,5,0,0,660
1762,FM9329,30,15,0,1,29,1,2,3,498
1763,9C8775,98,5,1,1,29,0,4,6,1020
1764,HO1201,37,21,0,1,29,2,3,1,496
1765,TV9866,29,8,0,1,30,3,2,0,592
1766,8L9888,32,5,0,1,30,3,1,0,561
1767,HO1125,27,6,0,1,30,3,2,2,616
1768,CZ3538,54,13,0,1,30,1,1,3,394
1769,CA1558,41,16,0,1,30,2,3,5,579
1770,HO1215,26,6,1,1,30,2,4,3,533
1771,MU5115,46,5,0,1,30,3,4,5,740
1772,MU5347,129,2,0,1,30,1,5,6,900
1773,HO1121,28,1,1,1,30,4,2,5,650
1774,MU5515,49,6,1,1,30,5,4,6,744
1775,FM9209,67,14,1,1,30,3,4,7,900
1776,FM9403,61,15,0,1,31,5,5,5,631
1777,HO1249,25,1,0,1,31,4,5,4,505
1778,ZH9508,36,1,1,1,31,4,4,6,821
1779,MF8582,23,15,0,1,31,5,2,5,626
1780,FM845,3,9,1,1,31,5,4,7,984
1781,CZ6982,58,15,0,1,31,4,3,5,947
1782,FM9315,51,15,0,1,31,5,0,1,501
1783,MU5429,40,5,0,1,31,5,2,5,995
1784,MU5806,45,15,1,1,32,1,2,6,713
1785,FM9379,109,15,0,1,32,1,4,1,360
1786,MU2160,50,6,1,1,32,2,4,3,649
1787,FM9521,35,15,0,1,32,2,5,4,660
1788,CZ3558,52,2,0,1,32,3,3,4,627
1789,MF8317,22,15,0,1,32,4,3,5,743
1790,MU5117,111,10,0,1,32,4,2,3,600
1791,MU2055,0,2,1,1,32,4,5,7,1099
1792,FM9549,24,2,0,1,32,4,2,3,600
1793,FM823,1,15,0,1,32,5,3,5,1020
1794,FM9423,39,13,0,1,32,4,1,3,720
1795,CI202,5,9,0,1,33,3,4,2,718
1796,MU2522,43,15,0,1,33,3,3,1,422
1797,CZ6974,56,15,0,1,33,2,4,3,653
1798,MF8586,33,15,0,1,33,4,3,3,504
1799,FM9185,21,15,1,1,33,4,4,4,723
1800,MU5385,48,1,0,1,33,3,1,3,356
1801,MU5313,55,1,0,1,33,4,1,3,376
1802,9C8995,11,5,0,1,33,4,4,7,960
1803,9C8949,10,5,1,1,33,2,4,6,780
1804,HO1155,42,21,0,1,34,2,3,7,835
1805,HO1221,26,6,0,1,34,4,0,2,363
1806,CZ3562,54,9,0,1,34,2,3,6,785
1807,TV9882,30,8,0,1,34,3,1,4,676
1808,MU5119,44,9,0,1,34,3,2,3,362
1809,ZH9512,34,5,1,1,34,2,5,6,781
1810,CA1518,28,15,0,1,34,2,4,7,741
1811,MF8522,27,15,0,1,34,4,3,5,438
1812,MU5543,53,5,1,1,34,4,5,7,916
1813,CZ3526,59,6,0,1,34,4,4,8,847
1814,SC4850,36,15,1,1,35,4,3,6,711
1815,MU5219,47,6,0,1,35,4,2,3,713
1816,MU5689,50,15,0,1,35,3,0,2,408
1817,9C8885,98,5,1,1,35,5,2,6,960
1818,9C8895,9,1,0,1,35,1,1,2,600
1819,MU2405,45,15,1,1,36,1,0,2,592
1820,9C8931,99,5,0,1,35,1,1,4,840
1821,CA1522,40,21,0,1,36,0,5,2,303
1822,MU2994,51,6,0,1,36,2,4,2,333
1823,MU5810,61,15,1,1,36,3,3,2,379
1824,HO1143,32,6,1,1,36,1,6,4,766
1825,MU5517,52,6,1,1,36,5,3,5,745
1826,HO1193,37,21,1,1,36,5,4,7,959
1827,CA1524,21,15,1,1,37,4,3,5,720
1828,OZ3625,5,9,0,1,36,4,7,9,1407
1829,HO1133,33,6,1,1,37,5,3,4,682
1830,FM9313,31,15,0,1,37,5,1,2,308
1831,HO1079,35,5,1,1,37,5,4,4,662
1832,MU5355,49,5,0,1,37,4,2,2,392
1833,CA4516,1,9,0,1,37,5,7,7,1423
1834,MU2166,58,2,0,1,37,4,5,5,940
1835,CZ3832,57,1,0,1,37,4,3,4,645
1836,KE816,4,19,0,1,37,4,5,5,953
1837,MU5549,60,2,0,1,37,3,4,5,660
1838,SC4674,22,15,1,1,38,3,3,4,775
1839,HU7610,39,9,0,1,38,4,3,4,739
1840,FM9395,56,15,0,1,38,4,3,4,759
1841,MU5581,48,2,1,1,38,4,2,5,807
1842,CA1516,41,15,0,1,38,3,1,4,548
1843,CZ3572,54,9,0,1,38,3,4,5,830
1844,MF8552,28,15,1,1,38,2,4,4,656
1845,MF8542,25,15,0,1,38,2,4,5,535
1846,9C8523,100,1,0,1,38,3,5,4,780
1847,9C8803,10,1,0,1,38,3,5,4,780
1848,MU5411,108,15,0,1,39,4,1,2,443
1849,MU5357,59,6,0,1,39,4,4,7,972
1850,MU5123,2,9,0,1,39,4,3,5,898
1851,KN5956,53,15,1,1,39,5,1,6,901
1852,HX239,6,8,1,1,39,5,3,8,997
1853,MU2168,45,9,0,1,39,2,1,3,525
1854,MU5315,24,15,0,1,39,3,2,4,629
1855,KN2218,55,15,1,1,39,1,2,4,826
1856,BR771,3,9,0,1,40,3,4,1,616
1857,9C8737,9,1,1,1,40,3,3,1,650
1858,9C8853,11,1,1,1,40,2,3,2,583
1859,CA1528,36,15,1,1,40,4,1,2,555
1860,CA1584,42,15,1,1,40,3,1,2,676
1861,CA1830,37,9,0,1,40,3,3,1,579
1862,MU2512,52,15,0,1,40,1,5,3,367
1863,SC1168,33,15,1,1,40,3,5,3,407
1864,CZ3504,50,6,0,1,40,2,6,3,590
1865,MF8506,32,15,0,1,41,6,2,2,417
1866,FM9321,116,15,0,1,40,3,7,6,840
1867,ZH9516,29,9,1,1,40,4,6,6,853
1868,MU5350,51,3,1,1,40,5,6,5,920
1869,MU5812,60,15,1,1,40,5,5,6,988
1870,CA1550,27,15,1,1,41,5,4,5,884
1871,CZ3626,58,2,0,1,41,6,3,5,894
1872,MU5415,26,1,0,1,41,6,3,4,800
1873,MU5523,48,6,1,1,41,5,5,4,744
1874,MU2170,46,6,0,1,41,4,4,3,653
1875,HO1241,23,6,1,1,41,3,3,1,496
1876,MU2407,110,15,1,1,41,3,1,0,538
1877,MU5309,38,15,0,1,41,5,0,1,664
1878,MU5359,47,6,0,1,41,4,1,1,753
1879,CZ3582,44,8,0,1,42,0,3,5,874
1880,HO1151,22,6,1,1,42,2,2,4,714
1881,HO1235,35,6,0,1,42,2,2,3,624
1882,MU5159,43,9,1,1,42,3,1,3,554
1883,MU5000,59,1,0,1,43,2,2,2,553
1884,CA4542,28,15,0,1,43,1,1,2,535
1885,MU2514,57,15,0,1,43,2,0,4,660
1886,CA1856,40,2,1,1,43,0,2,4,609
1887,SC4732,21,15,0,1,43,1,3,3,533
1888,HO1287,30,21,1,1,43,2,2,3,529
1889,MU2128,54,5,0,1,44,2,1,3,660
1890,9C8955,10,5,1,1,44,3,0,5,839
1891,CZ3546,45,19,1,1,44,0,1,4,656
1892,9C8929,9,5,1,1,44,1,1,4,742
1893,HU7602,39,9,1,1,45,1,0,7,816
1894,FM9107,49,15,1,1,45,0,1,5,564
1895,MU5311,75,15,1,1,45,1,0,5,780
1896,MU9004,76,15,1,1,12,0,0,0,480
1897,MU5539,27,1,0,1,12,0,0,0,444
1898,9C8917,10,5,0,0,13,0,1,0,540
1899,FM9279,19,15,0,1,13,0,2,0,600
1900,9C8821,82,5,1,0,13,0,3,0,660
1901,MU5633,38,5,0,1,13,1,1,0,660
1902,9C8827,97,1,0,0,14,1,0,0,720
1903,MU5459,103,5,0,1,13,1,4,0,960
1904,FM9073,20,15,1,1,14,1,5,0,720
1905,FM9535,65,14,1,1,14,2,3,0,720
1906,9C8819,95,1,0,0,14,0,2,0,660
1907,9C8635,83,5,0,0,14,1,2,0,480
1908,FM9537,14,15,0,1,14,2,6,0,1200
1909,FM9229,34,14,1,1,14,3,3,0,860
1910,FM9205,54,15,0,1,14,2,0,0,529
1911,9C8845,96,5,0,0,14,1,2,0,660
1912,9C8835,99,5,0,0,15,1,5,0,600
1913,HO1095,31,5,1,1,15,0,6,0,662
1914,MU2510,57,15,0,1,15,2,4,0,683
1915,MU5389,126,2,0,1,15,1,5,0,900
1916,FM9307,72,15,0,1,15,3,3,0,600
1917,MU5571,58,15,1,1,15,4,2,0,652
1918,9C8897,94,5,0,0,15,1,4,0,960
1919,9C8957,9,1,0,0,15,2,5,0,1074
1920,MU5395,73,15,0,1,15,3,2,0,660
1921,9C8815,84,1,1,0,15,2,2,0,900
1922,FM9213,48,13,0,1,16,1,2,0,679
1923,9C8909,11,5,1,0,16,1,3,0,532
1924,FM9245,120,15,0,0,16,1,7,0,780
1925,HO1157,33,6,0,1,16,2,6,0,714
1926,FM9421,63,6,0,1,16,0,9,0,900
1927,MU5401,12,8,0,1,16,1,7,0,840
1928,FM9415,22,15,0,1,16,3,8,0,960
1929,9C8903,98,5,1,1,16,4,7,0,1020
1930,FM9331,132,15,0,1,16,5,6,0,960
1931,FM9163,51,15,1,1,16,7,5,0,1007
1932,MU5814,35,15,1,1,16,8,6,0,1043
1933,CA1858,41,16,1,1,16,6,7,0,1193
1934,MU511,5,9,0,1,17,8,7,0,919
1935,MU2285,56,2,1,1,17,8,7,1,915
1936,MU5363,49,5,0,1,17,7,9,1,1223
1937,FM9515,101,15,0,1,17,6,8,2,1080
1938,FM9217,17,15,1,1,17,7,8,3,1020
1939,FM9147,67,14,1,1,17,6,9,3,1260
1940,FM851,3,9,0,1,17,8,3,2,631
1941,MU5151,44,9,1,1,17,6,6,3,1140
1942,MU9720,55,14,1,1,17,7,8,4,1356
1943,MU2152,47,6,0,1,17,8,6,4,1141
1944,HU7604,23,15,1,1,17,7,7,5,1353
1945,FM9453,61,14,1,1,17,8,5,4,1258
1946,HU7883,28,15,0,1,17,8,5,4,1289
1947,FM9513,36,15,0,1,17,9,6,3,1355
1948,FM9301,130,2,0,1,18,7,4,3,900
1949,MU721,2,9,1,1,18,6,6,5,1249
1950,FM815,1,21,0,1,18,6,5,4,1096
1951,9C8847,100,1,0,1,18,5,4,4,900
1952,FM9263,16,15,0,1,18,6,4,4,1080
1953,CA1590,40,19,1,1,18,5,8,4,1159
1954,MU5333,45,9,0,1,18,5,5,3,837
1955,MU5103,29,9,1,1,18,5,7,4,1114
1956,FM9269,24,15,0,1,19,5,5,3,835
1957,FM9127,15,15,1,1,19,6,4,3,600
1958,MU5529,59,1,1,1,19,6,6,4,1064
1959,MU5203,62,1,1,1,19,5,5,5,900
1960,MU5663,50,5,0,1,19,6,6,4,885
1961,9C8887,85,5,0,1,19,6,5,3,780
1962,FM9451,18,15,1,1,19,6,5,2,840
1963,MU5691,60,2,0,1,19,6,4,2,811
1964,MF8177,21,15,0,1,19,6,2,1,539
1965,FM9305,105,15,0,1,19,5,4,1,660
1966,FM9201,114,15,0,1,19,5,6,1,840
1967,MU5153,53,9,0,1,19,5,3,1,663
1968,MU5405,104,15,0,1,19,4,3,2,780
1969,MU537,6,9,0,1,20,5,1,1,753
1970,MU5423,52,6,0,1,20,4,3,2,927
1971,MU5337,42,2,0,1,20,3,1,2,480
1972,CZ3548,46,21,0,1,20,2,1,6,616
1973,MU5393,112,15,0,1,20,1,2,2,360
1974,HO1097,30,21,0,1,20,1,7,4,570
1975,MU5105,43,10,0,1,20,2,5,4,534
1976,HO1177,26,6,0,1,21,3,6,4,595
1977,MU5535,102,5,0,1,21,5,3,3,600
1978,FM9115,109,13,1,1,21,4,7,3,720
1979,FM9251,69,15,0,1,21,3,7,4,840
1980,SC4662,25,15,1,1,21,5,4,3,690
1981,NX137,7,2,1,1,21,6,6,6,1070
1982,SC4862,23,15,1,1,21,7,4,3,553
1983,FM9399,111,15,0,1,21,6,7,6,960
1984,MU5451,4,2,1,1,21,6,7,7,1080
1985,FM9297,70,15,0,1,21,6,5,7,1020
1986,MU5513,48,6,1,1,21,5,5,4,709
1987,MF8371,38,15,0,1,21,7,3,4,635
1988,SC4950,31,15,0,1,21,6,4,4,818
1989,MU5303,64,6,0,1,21,5,5,5,1020
1990,9C8823,9,5,0,1,21,6,3,2,720
1991,FM817,0,15,1,1,22,5,2,3,703
1992,CZ3592,61,15,0,1,22,5,1,4,744
1993,MU5665,71,5,1,1,22,4,1,5,720
1994,CZ3534,54,20,0,1,22,1,4,3,572
1995,SC4668,28,15,1,1,22,2,3,2,369
1996,MU5343,110,6,0,1,22,1,5,4,600
1997,MF8574,35,15,0,1,22,4,3,2,475
1998,CA1534,33,15,1,1,22,4,4,3,575
1999,MU5107,127,9,0,1,22,3,5,4,780
2000,CA1832,44,21,0,1,22,4,2,2,646
2001,NS3220,24,15,1,1,23,5,3,2,638
2002,9C8881,114,1,1,1,22,4,6,5,1200
2003,KN5738,50,15,1,1,23,3,5,3,733
2004,MU2506,51,15,0,1,23,4,2,3,575
2005,HU7606,40,8,0,1,23,3,5,5,808
2006,MU5305,13,9,0,1,23,5,1,4,480
2007,MU5143,93,1,1,1,23,4,4,7,1020
2008,FM9391,92,15,0,1,23,4,2,7,840
2009,HO1211,21,1,0,1,23,4,2,4,709
2010,MU5275,52,5,0,1,24,2,1,2,587
2011,CA4544,22,12,0,1,24,3,1,3,649
2012,CZ3908,56,2,0,1,24,1,3,5,596
2013,KN2318,49,15,1,1,24,1,4,5,587
2014,CZ3524,41,19,0,1,24,2,3,5,720
2015,MU2409,60,15,1,1,24,3,4,6,760
2016,CZ3966,53,9,0,1,24,3,4,5,750
2017,CA1502,43,10,0,1,24,4,5,5,845
2018,MU2219,47,6,0,1,25,4,5,2,660
2019,9C8837,10,5,1,1,24,3,8,5,1003
2020,CZ3262,55,15,1,1,24,4,7,4,1065
2021,MU5109,29,9,0,1,25,5,5,3,763
2022,FM9457,58,15,1,1,25,5,6,4,1045
2023,ZH9522,36,5,1,1,25,5,5,3,891
2024,FM9465,26,15,0,1,25,6,4,3,927
2025,MU5341,59,5,0,1,25,7,4,5,977
2026,HU7608,42,10,0,1,25,7,3,6,981
2027,MU5301,57,15,0,1,25,6,3,6,960
2028,MU2154,46,9,0,1,25,5,2,5,708
2029,FM9357,133,15,1,1,25,4,1,4,600
2030,MU5802,39,21,1,1,26,3,4,4,581
2031,FM9573,31,15,1,1,26,3,3,3,485
2032,CZ3554,54,9,0,1,26,2,4,4,620
2033,9C8855,11,5,0,1,26,1,7,5,823
2034,MU5427,51,15,0,1,26,4,5,3,648
2035,CA1837,38,9,0,1,26,4,8,5,1044
2036,9C8865,9,5,0,1,26,5,8,5,906
2037,MU5647,48,5,1,1,26,6,5,4,777
2038,MU5111,37,9,0,1,26,5,7,6,900
2039,FM9371,66,15,0,1,26,7,5,7,960
2040,FM9333,125,15,0,1,26,5,6,8,1200
2041,MU2469,50,15,0,1,26,6,6,9,993
2042,CZ8243,45,19,0,1,26,7,5,10,1034
2043,9C8829,100,1,0,1,26,7,4,11,1200
2044,MU5519,75,15,0,1,26,8,6,11,1200
2045,MU5804,32,15,1,1,27,6,3,6,601
2046,CA1520,40,19,0,1,27,6,6,10,1045
2047,HO1159,23,6,0,1,27,5,5,9,848
2048,MU2156,28,5,0,1,27,4,4,6,641
2049,FM9309,52,15,0,1,27,5,2,3,425
2050,MU2508,61,15,0,1,27,5,5,8,860
2051,KA813,6,9,1,1,27,6,5,8,957
2052,FM9103,35,15,0,1,27,5,5,6,798
2053,HO1113,21,1,0,1,27,5,4,6,836
2054,SC8744,24,15,1,1,28,4,3,4,695
2055,NH970,4,20,0,1,28,4,4,3,667
2056,MU9726,72,14,1,1,28,4,2,3,780
2057,9C8947,10,5,0,1,28,5,3,3,900
2058,FM9063,108,15,1,1,28,3,2,2,360
2059,9C8807,99,5,1,1,28,3,4,3,720
2060,CZ3532,53,20,0,1,28,4,6,4,797
2061,MU5345,58,15,0,1,28,3,4,3,600
2062,MU5113,44,9,0,1,28,4,3,3,560
2063,MF8377,22,15,0,1,28,4,1,1,534
2064,MU2403,76,15,1,1,28,3,2,2,660
2065,9C8765,11,5,1,1,28,5,1,3,720
2066,MU5271,60,1,0,2,29,0,4,3,586
2067,MU2434,49,1,0,2,29,1,3,2,437
2068,MU2158,59,2,0,2,29,2,5,1,560
2069,MU5097,5,9,0,2,29,3,6,2,643
2070,FM9219,25,15,0,2,29,4,5,2,619
2071,MU5155,42,5,0,2,29,4,4,3,539
2072,MU5307,55,15,0,2,29,6,2,4,485
2073,TV9866,29,8,0,2,29,5,4,5,663
2074,NX109,7,6,1,2,29,3,8,6,1025
2075,9C8775,98,5,1,2,29,5,4,7,1020
2076,SC4864,26,15,1,2,29,5,4,6,1012
2077,FM9329,38,14,0,2,29,5,4,5,980
2078,HO1201,30,21,0,2,30,4,4,5,1015
2079,8L9888,36,5,0,2,30,5,5,6,1171
2080,HO1125,27,6,0,2,30,4,5,7,1111
2081,CZ3538,46,8,0,2,30,4,5,6,1007
2082,FM9209,34,15,1,2,30,4,4,4,1071
2083,CA1558,43,19,0,2,30,4,3,4,1004
2084,MU5347,48,6,0,2,30,5,4,4,895
2085,MU5515,47,6,1,2,30,5,3,2,772
2086,HO1215,32,6,0,2,30,5,5,6,1217
2087,MF8578,31,15,1,2,31,4,2,4,526
2088,FM9403,41,15,0,2,31,5,4,5,668
2089,FM845,3,9,1,2,31,3,8,7,1066
2090,CZ6982,45,20,0,2,31,3,6,4,705
2091,MU2160,52,6,0,2,31,4,5,3,720
2092,FM9375,28,6,0,2,31,5,3,3,592
2093,MU5115,40,9,0,2,31,6,4,5,670
2094,MU5806,51,15,1,2,31,5,6,5,943
2095,FM9373,61,15,1,2,31,4,7,6,1079
2096,FM9315,24,15,0,2,31,6,4,5,869
2097,MU5429,22,5,0,2,32,5,3,5,720
2098,ZH9508,37,1,1,2,32,6,2,4,696
2099,FM9379,113,15,0,2,32,5,3,5,900
2100,FM9521,57,15,0,2,32,5,4,7,960
2101,CZ3558,56,1,0,2,32,3,3,5,557
2102,CZ3540,54,9,0,2,32,4,2,6,581
2103,MU5439,49,1,1,2,32,3,4,7,801
2104,FM823,2,15,0,2,32,3,4,7,900
2105,FM9207,35,15,0,2,32,4,1,6,600
2106,FM9549,50,2,0,2,33,3,1,4,474
2107,MU2055,120,9,1,2,32,3,4,10,1080
2108,FM9423,59,13,0,2,33,2,3,3,530
2109,MU2522,58,15,0,2,33,2,4,4,540
2110,HX249,4,9,1,2,33,2,7,5,836
2111,9C8995,9,5,0,2,33,3,5,2,540
2112,FM9185,55,15,1,2,33,4,4,2,439
2113,SC4670,26,15,1,2,33,3,6,5,951
2114,MU5313,127,8,0,2,33,5,2,3,540
2115,CZ6974,60,15,0,2,33,5,4,3,719
2116,MF8586,36,15,0,2,33,6,2,3,664
2117,MU5385,43,5,0,2,33,6,3,5,863
2118,9C8949,10,5,1,2,34,4,1,3,506
2119,CZ3562,53,2,0,2,34,3,3,5,632
2120,HO1155,29,21,0,2,34,1,5,5,591
2121,TV9882,38,8,0,2,34,2,4,5,611
2122,MU5808,30,8,1,2,34,3,3,5,612
2123,FM9361,25,15,0,2,34,4,2,6,702
2124,MU5117,1,9,0,2,34,3,6,8,960
2125,FM9116,33,13,0,2,34,5,3,8,840
2126,FM9501,34,15,0,2,34,4,3,4,600
2127,MU5353,46,9,0,2,34,3,6,7,784
2128,MU5119,44,9,0,2,35,3,4,4,640
2129,MU239,0,6,1,2,34,4,7,8,1102
2130,9C8885,11,5,1,2,35,3,8,8,990
2131,MU5543,31,1,1,2,35,4,8,6,994
2132,SC4850,21,15,1,2,35,6,7,6,872
2133,MU5810,76,15,1,2,35,5,9,7,1080
2134,CA1518,40,15,0,2,35,6,7,6,824
2135,CZ3526,42,19,0,2,35,6,11,9,1289
2136,MU2405,51,15,1,2,35,8,5,7,805
2137,FM9425,117,15,0,2,35,6,7,9,1200
2138,MU5219,47,6,0,2,35,7,7,10,1286
2139,MU5689,32,15,1,2,35,7,6,9,1305
2140,9C8931,97,1,0,2,35,9,4,9,1200
2141,SC4666,23,15,1,2,35,8,5,9,1296
2142,9C8895,98,1,0,2,36,9,1,5,960
2143,MU5157,39,9,0,2,35,9,3,9,1288
2144,CZ6996,52,15,0,2,36,5,4,4,635
2145,FM9327,118,21,0,2,36,8,5,9,1440
2146,MU5517,50,6,1,2,36,3,5,3,573
2147,FM9401,35,15,1,2,36,2,6,4,696
2148,HO1193,37,21,0,2,36,4,6,5,757
2149,MU2994,56,2,0,2,36,5,5,5,799
2150,MU2166,48,2,0,2,36,4,5,5,759
2151,MU5121,45,10,0,2,36,5,4,6,728
2152,HO1079,36,5,0,2,37,6,3,7,894
2153,MU5209,49,6,0,2,37,6,3,6,840
2154,SC4674,30,15,1,2,37,4,2,4,516
2155,OZ3625,5,9,0,2,36,6,7,10,1468
2156,CA1524,43,15,1,2,37,5,5,6,1109
2157,CZ3832,57,1,0,2,37,4,4,2,636
2158,FM9313,28,15,0,2,37,4,3,1,660
2159,MU5355,61,2,0,2,37,4,3,1,528
2160,FM9363,27,15,0,2,37,4,3,2,541
2161,KE816,4,19,0,2,37,4,2,3,680
2162,FM9395,31,15,0,2,38,3,2,3,600
2163,MU5581,58,2,1,2,38,3,2,5,729
2164,MU5549,59,5,0,2,38,2,2,2,361
2165,MU5579,32,1,0,2,38,2,1,4,527
2166,CZ3572,54,8,0,2,38,2,3,5,570
2167,HU7610,38,9,1,2,38,1,2,5,635
2168,MU5357,34,6,0,2,38,3,3,5,720
2169,MU5123,29,9,1,2,38,2,5,9,966
2170,MF8542,25,15,0,2,38,3,3,7,833
2171,KN5956,55,15,1,2,39,4,1,4,474
2172,9C8803,11,5,0,2,39,3,3,7,840
2173,MF8552,21,15,1,2,39,4,2,7,823
2174,MU5411,51,15,0,2,39,2,4,6,715
