,出港航班号FLT,出港停机位,出港机型TYS,出港是否流控管制,起飞跑道,推出时间窗,排队长度,同时段离港,同时段进港,推出滑行时间
6069,MU2168,30,9,0,1,39,2,0,1,427
6070,9C8803,84,1,1,1,39,1,2,3,1080
6071,BR771,1,9,0,1,40,1,2,3,633
6072,FM9313,102,15,1,1,40,1,4,1,600
6073,CA1528,21,14,1,1,40,3,2,1,460
6074,MU5315,61,15,1,1,40,2,4,3,715
6075,MU5121,114,9,1,1,40,2,5,4,960
6076,MU2512,51,15,0,1,40,4,2,4,775
6077,SC1168,23,15,1,1,40,4,4,4,715
6078,FM9321,25,15,0,1,40,4,5,2,621
6079,HU7610,37,9,1,1,41,4,2,1,397
6080,9C8853,10,5,1,1,41,3,5,3,617
6081,FM9379,18,15,1,1,41,2,6,3,780
6082,MU5523,33,6,1,1,41,5,5,4,888
6083,MU5812,56,15,1,1,41,5,5,2,741
6084,MU5411,60,15,1,1,41,4,7,4,1200
6085,MU5123,69,9,1,1,41,5,4,2,900
6086,HO1241,27,6,1,1,41,5,3,2,936
6087,9C8737,11,1,1,1,41,4,6,4,1380
6088,MU5219,63,6,1,1,41,6,2,1,1020
6089,MU5413,26,1,1,1,41,6,1,1,1020
6090,MU2407,55,15,1,1,41,7,1,1,1115
6091,MU5309,57,15,1,1,42,1,3,0,730
6092,MU5415,28,1,1,1,42,1,3,0,720
6093,CZ3582,53,8,1,1,42,2,4,0,837
6094,CA1856,43,19,1,1,42,3,4,0,824
6095,HU7602,40,10,1,1,42,3,4,1,680
6096,FM845,2,9,1,1,42,3,4,2,840
6097,MF8548,24,15,0,1,42,4,3,3,891
6098,MU2514,50,15,0,1,43,4,2,3,660
6099,MU5559,52,5,0,1,43,4,3,3,1016
6100,CA4542,36,15,1,1,43,4,1,2,671
6101,MU5350,47,1,1,1,43,3,1,2,900
6102,SC4732,34,15,0,1,43,1,0,1,478
6103,MU2170,4,9,1,1,44,0,1,1,900
6104,MU2128,48,1,0,1,44,1,0,0,559
6105,MU5353,54,9,1,1,44,0,1,1,720
6106,CA1886,42,19,1,1,45,1,1,0,631
6107,HO1251,35,6,1,1,45,1,3,0,928
6108,CZ3546,46,8,1,1,45,3,1,0,656
6109,KN2218,58,15,1,1,45,2,1,0,780
6110,9C8929,9,5,1,1,45,1,3,0,1044
6111,MU5331,37,9,1,1,45,3,0,0,600
6112,MU5357,125,6,1,1,48,0,0,1,660
6113,MU5359,49,6,1,1,2,0,0,0,480
6114,MU5539,59,5,0,1,12,0,0,0,557
6115,FM9279,25,15,0,1,13,0,2,0,504
6116,9C8917,82,5,0,0,13,0,3,0,660
6117,HO1131,28,1,1,1,14,1,3,0,504
6118,9C8821,10,5,1,0,14,1,4,0,637
6119,MU5459,29,5,0,1,14,2,5,0,403
6120,MU5633,32,5,0,1,14,1,7,0,780
6121,FM9537,19,15,0,1,14,3,6,0,540
6122,FM9229,68,14,1,1,14,3,8,0,840
6123,FM9535,58,14,1,1,14,4,4,0,606
6124,9C8827,80,1,1,0,14,1,8,0,1020
6125,HO1085,33,1,0,1,14,4,4,0,715
6126,9C8819,11,1,0,0,14,1,6,0,1020
6127,MU5451,119,6,1,0,14,2,5,0,1020
6128,FM9073,61,15,1,1,14,4,4,0,1031
6129,FM9205,74,15,1,1,14,5,3,0,1020
6130,FM9227,31,15,0,1,14,3,2,0,900
6131,9C8635,99,5,0,0,14,2,2,0,720
6132,MU2510,55,15,0,1,14,3,1,0,780
6133,9C8845,84,1,0,0,15,1,4,0,660
6134,MU5571,48,15,1,1,15,0,6,0,520
6135,9C8835,83,1,0,0,15,1,6,0,600
6136,9C8957,9,5,1,0,15,2,5,0,615
6137,MU5389,0,6,0,0,15,3,5,0,676
6138,FM9307,35,15,0,1,15,2,4,0,548
6139,MU5395,52,15,0,1,15,1,4,0,660
6140,9C8815,81,1,1,0,15,3,4,0,720
6141,9C8897,96,1,0,0,15,4,4,0,720
6142,HO1111,30,21,0,1,15,2,3,0,638
6143,HO1095,36,1,1,1,15,3,3,0,750
6144,FM9213,17,15,0,1,16,2,1,0,600
6145,9C8909,85,5,1,0,16,2,3,0,840
6146,FM9245,34,15,0,1,16,2,5,0,611
6147,9C8903,93,1,1,0,16,1,8,0,600
6148,MU5814,50,15,1,1,16,1,7,0,644
6149,FM9421,104,6,0,1,16,4,7,0,720
6150,CZ3590,42,9,0,1,16,2,9,0,845
6151,FM9263,73,15,1,1,16,3,10,0,960
6152,MU5401,12,8,0,1,16,5,5,0,780
6153,CA1858,43,19,1,1,16,6,5,0,890
6154,FM9331,49,15,0,1,16,7,5,0,844
6155,FM9415,63,15,0,1,16,4,8,0,1200
6156,MU5363,72,5,0,1,16,8,6,0,1080
6157,HO1119,37,21,0,1,17,9,4,0,721
6158,MU511,6,9,0,1,17,8,4,0,830
6159,MU2285,56,2,1,1,17,8,6,0,1016
6160,FM9515,126,14,0,1,17,9,5,0,1020
6161,FM9147,57,15,1,1,17,6,4,0,525
6162,MU9720,62,14,1,1,17,5,3,0,536
6163,FM9217,116,15,1,1,17,5,7,1,960
6164,MU721,3,9,1,1,17,5,6,1,947
6165,MU5151,45,9,1,1,17,6,2,2,621
6166,FM851,2,9,0,1,17,5,5,2,887
6167,HU7604,23,15,1,1,17,6,5,3,978
6168,FM9513,21,15,0,1,17,6,3,4,726
6169,FM9301,46,15,1,1,17,5,3,5,793
6170,HU7883,24,15,0,1,18,4,4,4,627
6171,FM815,1,21,0,1,18,4,4,4,801
6172,FM9163,113,2,1,1,18,3,1,4,600
6173,FM9453,60,14,1,1,18,4,3,6,886
6174,9C8847,86,1,0,1,18,4,2,5,840
6175,CA1590,41,17,1,1,18,4,6,5,877
6176,MU5333,70,8,0,1,18,2,7,3,720
6177,MU5663,51,5,1,1,18,2,7,3,603
6178,MU5529,112,5,1,1,19,5,4,2,660
6179,CZ3596,53,9,1,1,19,6,4,2,776
6180,MU5691,44,3,0,1,18,3,8,5,1020
6181,FM9269,66,15,0,1,19,4,5,4,1020
6182,9C8887,92,5,0,1,19,6,5,5,960
6183,FM9451,20,15,0,1,19,7,4,4,960
6184,FM9201,16,15,0,1,19,7,2,3,720
6185,MU5203,47,5,1,1,19,7,3,3,972
6186,FM9127,67,15,0,1,19,6,3,3,780
6187,MU5405,40,15,0,1,19,5,2,1,600
6188,MF8177,22,15,0,1,19,2,1,1,597
6189,MU537,5,9,0,1,19,3,0,1,660
6190,CZ3548,54,21,1,1,20,0,8,5,996
6191,FM817,4,15,1,1,20,3,6,3,660
6192,MU5337,108,2,0,1,20,2,9,6,1020
6193,MU5105,38,9,0,1,20,4,8,7,1103
6194,FM9251,59,15,0,1,20,1,11,9,1370
6195,HO1097,30,21,0,1,20,5,8,9,1298
6196,MU5393,64,15,1,1,20,8,4,7,960
6197,NX137,0,2,1,1,20,6,9,10,1402
6198,FM9115,69,15,1,1,21,10,4,5,840
6199,MU5535,109,5,0,1,20,8,7,10,1440
6201,MF8502,28,15,0,1,20,9,8,10,1599
6202,SC4862,25,15,1,1,21,9,3,3,779
6203,9C8881,11,1,1,1,21,9,5,5,960
6205,FM9297,14,14,0,1,21,9,8,9,1560
6206,SC4950,24,15,0,1,21,8,3,6,867
6207,MU5303,75,15,1,1,21,6,5,7,1080
6208,CZ3592,57,15,0,1,21,7,5,8,1149
6209,MU5513,27,6,1,1,22,7,2,6,788
6210,MF8371,21,15,0,1,22,6,1,5,612
6211,9C8823,9,5,0,1,21,7,5,10,1380
6212,MU5665,107,5,0,1,22,5,3,5,780
6213,HO1209,23,6,1,1,22,3,3,2,535
6214,MU5103,42,10,0,1,22,2,5,4,780
6215,MU5423,50,6,0,1,22,3,4,4,783
6216,SC4668,33,15,1,1,22,3,4,5,749
6217,CA1832,39,9,0,1,22,4,5,4,826
6218,CA1534,32,15,1,1,23,4,5,5,734
6219,KN5738,48,15,1,1,23,5,5,5,833
6220,MU5107,45,9,0,1,23,4,5,3,756
6221,NS3220,36,14,1,1,23,4,4,3,759
6222,MU2506,60,15,0,1,23,5,3,3,839
6223,FM9391,117,15,0,1,23,5,3,2,840
6224,MU5143,103,5,1,1,23,5,1,2,600
6225,HU7606,37,21,0,1,23,5,2,2,846
6226,HO1211,22,1,1,1,23,3,1,2,574
6227,MU5275,47,1,1,1,24,1,5,3,556
6228,KN2318,52,15,1,1,24,1,4,4,674
6229,CZ3966,61,2,0,1,24,2,4,5,832
6230,CZ3908,49,1,1,1,24,3,2,6,779
6231,9C8837,10,5,0,1,24,4,3,7,865
6232,MU2409,59,15,1,1,24,5,3,8,1032
6233,CA1502,40,10,1,1,24,4,4,8,1047
6234,FM9457,55,15,1,1,24,3,3,6,853
6235,FM9465,25,15,0,1,25,4,1,3,589
6236,CZ3262,58,15,1,1,25,3,1,3,656
6237,MU5341,51,1,0,1,24,3,7,7,1500
6238,ZH9522,29,9,1,1,25,4,4,1,716
6239,HU7608,26,15,1,1,25,3,2,1,461
6240,MU5305,127,9,1,1,25,2,4,6,840
6241,MU2219,27,6,0,1,25,4,2,6,664
6242,MU2154,56,15,0,1,25,4,5,7,960
6243,MU5647,110,1,0,1,26,5,3,4,600
6244,FM9573,24,15,1,1,25,4,5,4,950
6245,MU5301,39,9,1,1,25,3,6,9,1319
6246,MU5802,42,21,1,1,26,6,4,6,737
6247,MU5109,43,9,1,1,26,4,6,9,1260
6248,FM9357,21,15,0,1,26,5,9,9,1340
6249,CZ3554,54,9,0,1,26,7,8,7,1187
6250,MU5427,48,15,0,1,26,6,6,6,848
6251,CA1837,38,9,1,1,26,7,6,5,818
6252,MU2469,61,15,0,1,26,5,8,8,1130
6253,FM9333,32,15,0,1,26,7,5,6,875
6254,CZ8243,44,9,0,1,26,9,3,6,799
6255,9C8829,11,5,0,1,26,6,6,9,1320
6256,9C8855,97,1,1,1,26,8,5,9,1260
6257,CA1520,41,17,1,1,27,7,4,7,841
6258,FM9371,34,15,0,1,26,8,6,11,1232
6259,9C8807,98,5,0,1,27,5,3,6,720
6260,MU5519,133,15,0,1,27,7,7,9,1140
6261,MU2508,23,15,0,1,27,4,5,5,744
6262,MU5804,57,15,1,1,27,5,5,6,834
6263,HO1113,36,1,0,1,27,5,5,6,873
6264,SC8744,22,15,1,1,27,4,6,4,758
6265,MU2156,50,5,0,1,27,5,6,5,953
6266,FM9309,47,15,1,1,27,5,5,3,593
6267,FM9103,60,15,1,1,27,6,6,7,1147
6268,MU5111,53,9,1,1,28,6,1,3,720
6269,NH970,4,20,0,1,28,6,3,4,893
6270,MU9726,35,14,1,1,28,5,5,5,1071
6271,9C8947,96,5,0,1,28,5,4,6,1140
6272,HO1159,33,6,0,1,28,7,2,7,1062
6273,FM9063,56,15,1,1,28,4,4,5,749
6274,CZ3532,45,19,1,1,28,3,4,3,600
6275,FM9219,25,15,0,1,28,3,4,2,540
6276,MU5271,52,6,0,1,28,2,6,3,666
6277,MU5113,37,9,1,1,28,4,5,4,729
6278,9C8765,9,5,1,1,29,4,5,4,742
6279,MF8377,28,15,0,1,29,5,2,3,580
6280,MU2434,55,1,0,1,29,4,4,4,799
6281,MU5345,49,15,0,1,29,6,3,4,799
6282,MU5097,5,9,0,1,29,5,3,2,720
6283,MU2158,32,6,0,1,29,3,2,2,432
6284,NX109,7,6,1,1,29,5,4,4,940
6285,MU2403,75,15,1,1,29,3,3,4,609
6286,TV9866,29,8,0,1,29,3,2,3,561
6287,SC4664,24,15,1,1,29,3,2,2,607
6288,9C8775,10,1,1,1,29,3,3,3,794
6289,SC4864,38,15,1,1,30,2,2,2,547
6290,HO1125,27,6,0,1,30,3,1,3,602
6291,8L9888,31,5,0,1,30,2,2,3,484
6292,FM9209,48,15,1,1,30,1,3,1,609
6293,HO1201,30,21,1,1,30,2,7,5,800
6294,HO1215,33,6,0,1,30,2,6,6,906
6295,MU5115,13,9,0,1,31,6,1,3,381
6296,MF8586,39,15,0,1,30,3,6,8,955
6297,CZ3538,43,19,1,1,31,4,3,5,682
6298,FM9329,22,2,0,1,30,3,7,8,1260
6299,FM9403,34,15,0,1,31,5,6,5,981
6300,MU5515,58,6,1,1,31,7,4,7,1095
6301,MU5429,51,5,0,1,31,5,2,3,355
6302,CA1558,40,19,0,1,31,4,5,3,685
6303,MF8582,36,15,0,1,31,6,7,6,1190
6304,FM9373,23,15,0,1,31,5,5,6,1057
6305,ZH9508,21,1,1,1,31,4,3,4,900
6306,MU2160,50,6,0,1,31,5,3,4,981
6307,MU5806,57,15,1,1,31,5,3,4,907
6308,FM9375,41,6,0,1,31,5,4,6,1280
6309,FM9379,128,15,1,1,32,4,4,4,900
6310,FM9521,47,15,1,1,32,4,3,5,780
6311,MU5543,59,1,1,1,32,3,6,5,945
6312,MF8317,25,15,1,1,32,4,3,4,575
6313,MU5117,44,9,0,1,32,4,3,3,530
6314,MU2055,114,2,1,1,32,3,6,9,1200
6315,MU5439,49,5,1,1,32,5,4,7,937
6316,FM9207,35,15,0,1,32,4,4,7,1080
6317,FM9423,42,15,0,1,33,4,3,5,780
6318,FM9549,56,15,0,1,33,5,3,8,961
6319,MU2522,55,15,0,1,33,5,2,5,720
6320,FM845,1,9,1,1,33,4,3,10,1260
6321,FM9315,32,15,1,1,33,3,4,5,840
6322,MU5385,52,5,0,1,33,4,5,6,845
6323,SC4670,28,15,1,1,33,3,2,4,531
6324,9C8995,97,1,0,1,33,2,4,7,840
6325,HX249,4,8,1,1,33,4,3,6,802
6326,FM9185,22,15,1,1,34,4,1,5,581
6327,FM823,3,15,0,1,34,5,2,7,808
6328,MF8522,24,15,1,1,34,3,2,5,584
6329,HO1155,37,21,1,1,34,2,2,3,630
6330,TV9882,29,8,0,1,34,2,2,3,659
6331,MU5313,30,8,1,1,34,2,2,4,456
6332,MU5119,14,9,0,1,34,2,2,6,840
6333,MU5808,38,8,1,1,34,2,1,5,879
6334,CZ3526,46,9,1,1,34,2,4,7,1150
6335,MU5689,43,15,0,1,35,2,2,5,780
6336,HO1221,27,6,1,1,35,2,2,3,629
6337,SC4666,33,15,1,1,35,3,0,2,413
6338,9C8885,10,5,1,1,35,3,4,6,1040
6339,FM9425,114,15,0,1,35,2,5,5,1080
6340,FM9361,15,15,0,1,35,2,4,4,720
6341,MU5157,45,10,0,1,36,3,3,3,759
6342,MF8578,26,15,0,1,36,4,1,4,730
6343,CA1518,41,19,0,1,36,5,1,3,713
6344,9C8949,9,5,1,1,36,3,4,4,1020
6345,FM9327,2,21,1,1,36,2,6,2,639
6346,FM9116,60,15,0,1,36,2,6,4,840
6347,9C8895,11,1,1,1,36,3,6,5,904
6348,FM9501,31,15,0,1,36,3,6,5,780
6349,MU239,0,6,1,1,36,4,6,6,960
6350,HO1193,39,21,0,1,36,5,6,7,1066
6351,OZ3625,6,9,0,1,36,6,5,6,1102
6352,MU5121,3,9,0,1,37,6,2,3,667
6353,MU2994,56,2,0,1,36,6,6,7,1284
6354,MU2166,51,2,0,1,36,7,5,6,1321
6355,MU5219,48,6,1,1,37,7,2,5,1080
6356,HO1079,21,1,0,1,37,8,6,6,1309
6357,HO1143,28,6,1,1,37,5,8,7,1114
6358,FM9363,36,14,0,1,37,4,9,8,1320
6359,SC4674,32,15,1,1,37,6,7,6,952
6360,KE816,4,19,0,1,37,3,11,8,1186
6361,MU2405,57,15,1,1,37,4,10,7,1260
6362,MU5810,34,15,1,1,38,6,7,6,1020
6363,MF8510,23,15,0,1,37,5,10,9,1445
6364,MU5517,52,6,1,1,38,9,7,5,1101
6365,MU5209,50,15,0,1,38,7,10,8,1416
6366,9C8931,96,1,1,1,38,8,9,7,1440
6367,MU5549,42,5,0,1,38,9,8,6,1297
6368,FM9401,54,15,1,1,38,10,7,6,1200
6369,MU5353,115,9,1,1,38,10,7,5,1260
6370,HU7610,35,15,0,1,38,9,9,6,1445
6371,FM9395,24,15,0,1,38,10,7,5,1295
6372,MU5581,22,1,1,1,38,9,5,3,1030
6373,FM9152,88,15,0,1,38,8,6,4,1200
6374,FM9313,49,15,1,1,38,8,4,2,882
6375,MU5579,33,5,0,1,38,9,7,6,1393
6376,MU5123,27,6,0,1,38,8,5,3,1378
6377,KN5956,61,15,1,1,39,8,5,4,1273
6378,MF8542,25,15,0,1,39,6,3,4,999
6379,MF8552,37,15,1,1,39,5,2,5,936
6381,MU5411,63,15,0,1,39,5,3,6,840
6382,HX239,1,9,1,1,39,6,6,7,1322
6383,MU5413,31,1,0,1,39,3,4,4,827
6384,KN2218,51,15,1,1,39,4,4,4,993
6385,MU5355,40,9,1,1,40,4,3,2,840
6386,9C8853,10,1,1,1,40,4,2,3,898
6387,MU2168,30,9,0,1,40,5,4,5,1120
6388,9C8737,11,1,1,1,40,5,3,3,918
6389,MU2512,57,15,0,1,40,3,3,1,772
6390,BR771,5,9,0,1,40,3,6,4,1027
6391,CA1522,43,19,0,1,40,4,6,2,1181
6392,CA1528,26,14,1,1,41,3,6,2,821
6393,MU5812,28,15,1,1,41,5,5,1,581
6394,SC1168,32,15,1,1,41,4,7,4,1047
6395,MU5350,75,5,1,1,41,5,5,3,720
6396,MU5315,59,15,1,1,41,5,8,5,1200
6397,CA1516,42,19,0,1,41,6,5,3,746
6398,MU5357,16,6,1,1,41,6,6,5,960
6399,MU5523,52,6,1,1,41,7,3,4,889
6400,MU5415,48,1,0,1,41,7,7,4,1084
6401,HO1241,36,6,1,1,41,6,5,3,1005
6402,CA1550,29,21,0,1,41,6,4,3,1022
6403,MU5577,65,3,1,1,41,6,3,2,1200
6404,MU2170,46,9,0,1,42,5,1,2,834
6405,FM9321,58,15,0,1,42,4,2,3,1020
6406,MU2407,50,15,1,1,42,6,1,3,1032
6407,CA4502,37,8,1,1,42,2,2,0,540
6408,HU7602,23,15,1,1,42,1,3,0,738
6409,CA1856,41,16,1,1,42,2,4,1,855
6410,HO1235,22,6,0,1,42,2,3,1,719
6411,MU5331,125,2,1,1,42,3,4,1,960
6412,MF8548,24,15,0,1,43,3,3,0,738
6413,CA4542,33,14,0,1,43,4,2,0,788
6414,MU2514,55,15,0,1,43,4,0,1,423
6415,MU5559,34,5,0,1,43,3,2,2,829
6416,SC4732,35,15,0,1,43,2,1,0,368
6417,FM9107,60,15,1,1,43,1,2,0,854
